Sentence,Output
" Since then , only Terry Bradshaw in 147 games , Joe Montana in 139 games , and Tom Brady in 131 games have reached 100 wins more quickly"," Since then , only [Name] in 147 games , [Name] in 139 games , and [Name] in 131 games have reached 100 wins more quickly"
 He was portrayed by Anthony Perkins in the 1960 version of Psycho directed by Alfred Hitchcock and the Psycho franchise, He was portrayed by [Name] in the 1960 version of Psycho directed by [Name] and the Psycho franchise
" The egg eventually hatches , revealing a baby Sharptooth"," The egg eventually hatches , revealing a baby [Name]"
" In the video Kelis is walking down a street in a large space suit-style coat , then singing to the stars"," In the video [Name] is walking down a street in a large space suit-style coat , then singing to the stars"
" According to food writer Sharon Tyler Herbst , pico de gallo ( rooster 's beak ) is named thus because originally people ate it by pinching pieces between the thumb and forefinger"," According to food writer [Name] , pico de gallo ( rooster 's beak ) is named thus because originally people ate it by pinching pieces between the thumb and forefinger"
 In this way Plato indicated his high opinion of geometry, In this way [Name] indicated his high opinion of geometry
 though the concept was known before that and was studied by many chemists including Avogadro, though the concept was known before that and was studied by many chemists including [Name]
" They have been part of the Duchy of Normandy since the tenth century , and Queen Elizabeth II is often referred to by her traditional and conventional title of Duke of Normandy"," They have been part of the Duchy of Normandy since the tenth century , and Queen [Name] is often referred to by her traditional and conventional title of Duke of Normandy"
 Further mention of events in Kent occurs in the late sixth century history of the Franks by Gregory of Tours, Further mention of events in Kent occurs in the late sixth century history of the Franks by [Name]
" During this time , Jeanne Duval became his mistress"," During this time , [Name] became his mistress"
" Utah 's governor , Gary Herbert , is also a church member"," Utah 's governor , [Name] , is also a church member"
" Upon joining the club he stated that he was expecting to play as a striker , rather than as a utility forward , though he admitted he faced a challenge in dislodging either of free-scoring duo Tom Pope and Lee Hughes"," Upon joining the club he stated that he was expecting to play as a striker , rather than as a utility forward , though he admitted he faced a challenge in dislodging either of free-scoring duo [Name] and [Name]"
" Joss Whedon was credited as executive producer throughout the run of the series , and for the first five seasons ( 1997 – 2001 ) he was also the showrunner , supervising the writing and all aspects of production"," [Name] was credited as executive producer throughout the run of the series , and for the first five seasons ( 1997 – 2001 ) he was also the showrunner , supervising the writing and all aspects of production"
 The show was created and hosted by Marc Weiner, The show was created and hosted by [Name]
" She was formerly married to baseball player David Justice , singer-songwriter Eric Benét , and actor Olivier Martinez"," She was formerly married to baseball player [Name] , singer-songwriter [Name] , and actor [Name]"
" While a primary concern has been the relationship between the writing process and natural places , concepts of spatiality also apply to cyberspace and online writing - in MUDs , MOOs , Internet Relay Chat , Instant Messages , and e-mail ( Syverson , 1999 ; Yagelski , 2002 )"," While a primary concern has been the relationship between the writing process and natural places , concepts of spatiality also apply to cyberspace and online writing - in MUDs , MOOs , Internet Relay Chat , Instant Messages , and e-mail ( [Name] , 1999 ; [Name] , 2002 )"
" As a result , he was unable to play again in the series and Shakib Al Hasan took over"," As a result , he was unable to play again in the series and [Name] took over"
 Nedelya Petkova created the first Bulgarian school for women in the city, [Name] created the first Bulgarian school for women in the city
" In 1983 , he was cast in the title role in Sadat , a miniseries which chronicled the life and assassination of Anwar Sadat"," In 1983 , he was cast in the title role in Sadat , a miniseries which chronicled the life and assassination of [Name]"
